Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,7.374124,7.374124,7.291268,7.291268,1.673325,407940
1962-01-03,7.291268,7.355003,7.291268,7.355003,1.687950,305955
1962-01-04,7.355003,7.355003,7.278521,7.281708,1.671130,274575
1962-01-05,7.272148,7.272148,7.125558,7.138305,1.638219,384405
1962-01-08,7.131931,7.131931,6.947100,7.004461,1.607504,572685
1962-01-09,7.036329,7.176546,7.036329,7.087317,1.626519,517770
1962-01-10,7.100064,7.131931,7.100064,7.100064,1.629444,313800
1962-01-11,7.119184,7.176546,7.119184,7.176546,1.646995,337335
1962-01-12,7.189293,7.240280,7.189293,7.189293,1.649920,462855
1962-01-15,7.214786,7.237094,7.214786,7.221160,1.657234,266730
1962-01-16,7.214786,7.214786,7.144678,7.144678,1.639682,266730
1962-01-17,7.112811,7.112811,7.010835,7.029955,1.613353,439320
1962-01-18,7.049076,7.119184,7.049076,7.049076,1.617741,392250
1962-01-19,7.049076,7.068196,6.972594,7.055449,1.619204,423630
1962-01-22,7.055449,7.125558,7.036329,7.042702,1.616278,290265
1962-01-23,7.039516,7.049076,6.959847,6.972594,1.600190,392250
1962-01-24,6.972594,7.010835,6.937540,7.010835,1.608966,431475
1962-01-25,7.010835,7.068196,6.921606,6.934353,1.591414,337335
1962-01-26,6.934353,6.959847,6.896112,6.899299,1.583368,258885
1962-01-29,6.899299,6.947100,6.781389,6.781389,1.556308,611910
1962-01-30,6.781389,6.819630,6.695347,6.695347,1.536562,776655
1962-01-31,6.762269,6.908859,6.762269,6.908859,1.585562,800190
1962-02-01,6.978967,7.087317,6.978967,7.068196,1.622129,674670
1962-02-02,7.068196,7.112811,7.036329,7.112811,1.632369,533460
1962-02-05,7.112811,7.112811,6.985341,7.023582,1.611890,329490
1962-02-06,7.023582,7.036329,6.998088,7.029955,1.613574,274575
1962-02-07,7.036329,7.074570,7.036329,7.036329,1.615037,266730
1962-02-08,7.036329,7.074570,7.036329,7.042702,1.616499,23535
1962-02-09,7.042702,7.093690,7.010835,7.093690,1.628202,455010
1962-02-12,7.093690,7.151052,7.087317,7.100064,1.629665,298110
1962-02-13,7.100064,7.106437,6.985341,6.985341,1.603333,274575
1962-02-14,6.985341,7.010835,6.959847,6.972594,1.600408,219660
1962-02-15,6.972594,6.972594,6.940727,6.947100,1.594556,243195
1962-02-16,6.947100,6.972594,6.940727,6.940727,1.593093,235350
1962-02-19,6.940727,6.972594,6.857871,6.870618,1.577002,298110
1962-02-20,6.873805,6.908859,6.873805,6.873805,1.577733,305955
1962-02-21,6.873805,6.921606,6.822817,6.822817,1.566030,384405
1962-02-23,6.832377,6.857871,6.832377,6.845124,1.571149,305955
1962-02-26,6.845124,6.851498,6.806883,6.819630,1.565298,313800
1962-02-27,6.819630,6.876992,6.781389,6.832377,1.568224,368715
1962-02-28,6.832377,6.845124,6.794136,6.845124,1.571149,282420
1962-03-01,6.870618,6.927980,6.870618,6.927980,1.590168,298110
1962-03-02,6.985341,7.023582,6.985341,6.985341,1.603333,258885
1962-03-05,6.985341,6.985341,6.934353,6.959847,1.597482,376560
1962-03-06,6.959847,6.991714,6.947100,6.966221,1.598944,196125
1962-03-07,6.966221,6.988528,6.947100,6.988528,1.604065,133365
1962-03-08,6.988528,7.004461,6.947100,7.004461,1.607723,196125
1962-03-09,7.010835,7.049076,7.010835,7.049076,1.617962,305955
1962-03-12,7.049076,7.068196,7.023582,7.042702,1.616499,298110
1962-03-13,7.042702,7.042702,7.010835,7.036329,1.615037,133365
